Variable,benign,malignant,Overall,p-value
n,357,212,569,
"Age (years), mean +/- SD",53.8 +/- 11.9,55.1 +/- 10.6,54.3 +/- 11.5,0.219
"Mean radius, median (IQR)",12.2 (11.1-13.4),17.3 (15.1-19.6),13.4 (11.7-15.8),<0.001
"Mean texture, mean +/- SD",17.9 +/- 4.0,21.6 +/- 3.8,19.3 +/- 4.3,<0.001
"Mean perimeter, median (IQR)",78.2 (70.9-86.1),114.2 (98.7-129.9),86.2 (75.2-104.1),<0.001
"Mean area (pixels), median (IQR)",458.4 (378.2-551.1),932.0 (705.3-1203.8),551.1 (420.3-782.7),<0.001
"Mean smoothness, mean +/- SD",0.1 +/- 0.0,0.1 +/- 0.0,0.1 +/- 0.0,<0.001
"Sex, n (%)",,,,N/A
  F,357 (100.0%),212 (100.0%),569 (100.0%),
"Imaging modality, n (%)",,,,N/A
  FNA cytology,357 (100.0%),212 (100.0%),569 (100.0%),
